,date,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m
0,2010-01-01 00:00:00+00:00,13.7095,96.48175,13.1595,14.448387,0.0,0.0,0.0,0.0,1013.5,799.97174,53.7,55.0,7.0,0.0,1.835647,6.439876,168.69011,116.56499,11.879999
1,2010-01-01 01:00:00+00:00,13.5095005,97.10876,13.0595,14.214216,0.0,0.0,0.0,0.0,1014.1,800.3162,50.699997,53.0,5.0,0.0,1.835647,6.9247384,168.69011,117.89718,12.959999
2,2010-01-01 02:00:00+00:00,14.2595005,94.63144,13.4095,14.952528,0.0,0.0,0.0,0.0,1015.1,801.5894,57.6,62.0,3.0,0.0,2.7416782,6.28713,156.80138,113.62939,15.4800005
3,2010-01-01 03:00:00+00:00,16.8095,84.3793,14.1595,17.569685,0.0,0.0,0.0,0.0,1016.0,803.9314,13.2,14.0,1.0,0.0,4.1046314,6.28713,105.25517,103.24053,21.599998
4,2010-01-01 04:00:00+00:00,18.5095,77.5411,14.5095005,18.84095,0.0,0.0,0.0,0.0,1016.5,805.4014,22.499998,22.0,3.0,3.0,7.92,10.799999,90.0,90.0,29.88
5,2010-01-01 05:00:00+00:00,19.8095,71.047386,14.4095,19.784615,0.0,0.0,0.0,0.0,1016.1,805.89856,43.8,42.0,8.0,4.0,10.105681,13.698934,85.91447,86.98728,33.48
6,2010-01-01 06:00:00+00:00,20.7095,66.98745,14.3595,21.624561,0.0,0.0,0.0,0.0,1015.5,805.9822,51.600002,35.0,17.0,33.0,9.826088,13.397612,81.57312,83.829926,35.64
7,2010-01-01 07:00:00+00:00,21.5095,64.398125,14.5095005,22.876709,0.2,0.2,0.0,0.0,1014.4,805.60345,61.8,29.0,27.0,65.0,10.495713,14.440443,84.093956,85.71093,35.64
8,2010-01-01 08:00:00+00:00,20.3595,71.37908,15.0095005,20.900738,0.9,0.9,0.0,0.0,1013.4,804.0985,67.5,34.0,25.0,73.0,11.879999,16.919998,90.0,90.0,38.88
9,2010-01-01 09:00:00+00:00,19.7595,73.36739,14.8595,20.187332,0.7,0.7,0.0,0.0,1012.8,803.24994,73.8,37.0,29.0,77.0,9.826088,13.493999,98.42689,99.21095,38.519997
10,2010-01-01 10:00:00+00:00,19.0595,74.439026,14.4095,19.273043,0.9,0.9,0.0,0.0,1012.3,802.4175,74.4,51.0,21.0,53.0,8.473393,11.440978,102.26476,102.72436,33.12
11,2010-01-01 11:00:00+00:00,18.6595,77.31409,14.6095,18.833258,0.3,0.3,0.0,0.0,1012.1,802.00916,50.1,39.0,24.0,2.0,9.255571,13.797913,103.49575,105.12406,30.239998
12,2010-01-01 12:00:00+00:00,18.0095,77.46493,14.0095005,18.250513,0.1,0.1,0.0,0.0,1013.1,802.3937,41.7,32.0,21.0,1.0,7.289444,12.57426,110.22495,113.62939,28.08
13,2010-01-01 13:00:00+00:00,17.1595,81.99596,14.0595,17.635393,0.0,0.0,0.0,0.0,1013.8,802.41205,27.3,22.0,12.0,1.0,5.8048253,12.904882,119.74479,120.141304,24.119999
14,2010-01-01 14:00:00+00:00,16.3095,85.14949,13.8095,16.785429,0.0,0.0,0.0,0.0,1014.8,802.6644,29.4,25.0,9.0,5.0,5.1919937,13.281023,123.690094,122.828545,19.44
