Group Name,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968
Murder,723,757,679,684,658,771,701,767,711,855,842,907,853,769,760,817,713,775,731,733,738,797,741,756,755,706,679,662,702,1875,3048,2813,1667,1761,1388,1101,646,744,591,575,555,620,590,560,553,624,638,569,714,597,604,574,576,522
Dacoity,43,39,25,47,27,43,25,31,18,48,28,85,38,31,37,35,27,17,30,50,45,21,18,36,32,28,26,25,25,58,113,140,76,112,151,51,10,11,8,1,1,1,1,2,6,3,3,8,8,4,6,0,3,2
Burglary,3199,2913,3324,3047,3031,2976,2812,2856,2707,2828,2488,2661,2507,2621,2616,2277,1933,1766,2094,1928,1846,1757,1400,1348,1238,1167,1017,989,935,1219,1474,1433,1413,1500,1464,1363,1003,905,938,1088,1212,1207,1252,1552,1937,1453,1553,1685,1561,1590,1387,1554,1699,1728
Theft,8418,6401,7562,7065,6926,5982,5088,5067,4885,5272,4784,5446,5624,5563,5173,3946,2924,2587,3198,2963,3023,2509,2206,1849,1825,1664,1374,1275,1069,1546,2723,2901,2195,2130,2304,1939,1477,1447,1703,1988,2315,2299,2345,2672,3007,2615,2807,2903,2639,2700,2472,2854,3064,3146
Robbery,107,102,91,131,122,147,140,161,141,213,236,241,171,16,124,142,85,86,108,110,131,62,58,61,35,54,47,46,44,159,475,567,352,582,592,361,110,103,66,24,21,21,28,25,61,50,48,51,55,34,29,28,18,24
Kidnapping,1787,1399,1798,1599,1389,1591,1964,1495,1274,919,681,789,692,718,760,591,478,463,464,551,513,464,423,354,284,274,233,220,189,257,394,370,243,193,182,172,164,168,204,245,298,256,306,299,320,386,295,272,311,288,289,301,313,319
Roits,0,0,0,0,1,0,0,0,0,1,0,0,8,1,1,3,1,16,2,2,1,0,3,5,11,6,6,7,12,35,27,35,43,32,160,91,58,83,7,3,12,17,20,21,37,17,91,51,50,52,31,44,29,47
Culpable Homicide,177,135,166,164,122,120,124,101,104,104,112,120,129,146,170,165,210,148,89,79,76,80,108,111,84,94,75,99,108,112,125,129,138,112,137,159,142,174,157,133,133,147,156,145,143,149,169,159,183,161,210,198,217,203
Counterfeit Coining,17,25,25,27,33,22,25,21,39,49,58,75,63,78,68,66,74,60,56,39,58,77,24,20,8,32,9,11,18,12,2,0,3,3,9,1,9,6,3,0,0,3,3,7,2,14,2,0,1,0,1,0,0,0
Miscellaneous,31983,38099,30799,28709,26819,28355,27374,26633,26788,25501,25654,26344,25460,25220,26084,24026,20691,19712,21986,22339,21341,18607,15301,12382,10797,9897,7679,7397,6343,7107,7700,0,8038,7851,8630,7986,7566,9187,10294,8138,9041,108,7427,7548,7860,6635,6754,7090,6989,6685,6404,6925,7007,7012
