Group Name,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968
At the beginning of the year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Convicted,4478,6772,7546,8654,8580,10586,10428,9394,8839,8164,6945,6505,6092,5701,5332,5151,4886,4974,4417,4615,2597,2463,2755,2742,2430,2427,2107,1861,1720,2117,2013,2414,2504,3314,3713,3985,4798,4798,4516,4449,4349,4481,4901,3938,4975,4719,4639,4667,4393,4313,4327,4541,4482,4587,4606
Under Trial,15220,15429,14375,13522,12854,12060,14732,15559,18435,12418,12157,11757,11412,10273,9722,9268,9169,7885,8390,8446,8358,7201,6736,5788,5423,5166,4708,4309,4465,3715,4146,3620,3758,4882,4052,3336,7210,7210,3462,3521,2590,2909,2010,6412,2442,2832,3784,3068,2995,2379,3488,2679,2721,2137,1552
Civil,274,50,45,42,66,56,78,60,55,23,6,7,6,7,4,8,18,108,15,12,20,341,126,9,10,11,8,8,0,0,32,27,10,3,5,84,120,120,272,349,84,32,231,145,139,74,175,24,11,31,16,26,11,50,18
Received during the year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Convicted,11570,8344,12177,11616,14566,16281,22607,20779,23531,20605,19108,19337,17510,15974,15058,14427,13996,12967,13232,13201,13090,11662,3167,2869,3982,3347,6866,5811,4251,4288,5237,5161,5630,6769,4248,10897,14415,14415,13625,15344,16615,26641,12598,14067,15196,16387,16423,16413,16886,17926,15712,17356,15411,17725,19903
Under Trial,60849,67870,59195,58939,62020,52045,58680,68891,73786,67971,50416,5028,50016,49921,48434,46359,44620,43178,49104,50312,38909,40277,43027,55240,38117,36285,32747,32063,29949,23997,24437,29940,27993,35838,38812,40893,55051,55051,158125,136957,77604,23898,35832,34137,35810,44710,45300,44406,42612,38857,39552,39395,45776,37127,55762
Civil,361,86,291,364,422,287,562,374,273,160,134,128,121,115,107,120,82,96,41,44,10,265,472,960,1036,1578,2130,1839,772,57,59,178,398,491,187,243,9572,9572,5942,4622,4853,1892,1853,2078,2353,3475,3235,3064,612,866,444,275,362,314,1451
Discharged during the year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Convicted,10417,9573,12533,12683,13723,17816,22401,20967,24183,20396,12720,12320,11945,11605,11218,10837,9935,11314,11077,12501,11804,5539,4459,2856,3670,3344,6646,5565,4110,4685,5133,5562,5617,7450,4647,11169,15228,15228,13406,15277,16515,26773,13018,13104,16233,16131,16343,16441,16612,17846,15726,17570,15352,17830,19922
Under Trial,56965,65256,58385,58121,57381,49667,53941,73216,74326,65502,50405,50005,49903,49051,48941,48351,44435,43657,49498,50984,39654,15141,42562,54287,37752,36028,32898,31664,30105,23247,24868,28914,27391,36545,37982,40177,58925,58925,143657,137016,76673,24195,34933,38574,31840,4500,46252,43690,42539,38259,40661,38640,45818,36543,55177
Civil,221,118,302,376,369,268,480,351,226,154,128,122,115,105,98,122,72,162,35,45,18,401,256,843,1037,1579,2127,1839,764,57,91,173,372,488,193,322,9608,9608,5547,4599,4588,1806,2052,2001,2347,3410,3336,2913,599,886,429,285,347,353,1419
Remaining at the end of the year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Convicted,5631,5543,7190,7587,9423,9051,10634,9206,8237,8373,13333,13523,11657,10070,9172,8741,8947,6627,6572,5015,3883,8586,2463,2755,2742,2430,2427,2107,1861,1720,2117,2013,2414,2633,3314,3713,3985,3985,4705,4516,4449,4349,4481,4901,3938,4975,4719,4639,4667,4393,4313,4327,4541,4482,4587
Under Trial,19104,18043,15185,14340,7493,14438,19431,11234,17895,14887,12168,11990,11525,10443,9215,7276,9344,7406,7996,7774,7613,32337,7201,6736,5788,5423,5166,4708,4809,4465,3715,4146,3620,4175,4882,4052,3336,3326,7930,3462,3521,2590,2909,1975,6412,2442,2832,3784,3068,2995,2379,3488,2679,2721,2137
Civil,414,43,34,30,119,75,160,83,92,29,12,13,12,17,13,16,28,42,21,11,12,205,341,126,9,10,11,8,8,0,0,32,27,6,3,5,84,84,667,272,349,84,32,222,145,139,74,175,24,11,31,16,26,11,50
