"Protected Area for Sanctiaries, Botanical gardens and Zoological Parks (Hect.)",2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003
(A) Name of Protected area (Sanctuaries),,,,,,,,,,,,,,,,,,,,
Bir Moti Bagh wildlife sanctuary Patiala,654,654,654,654,654,654,654,654,654,654,654,654,654,654,654,654,654,654,654,654
Bir Bhunerheri wildlife sanctuary,661.66,661.66,661.66,661.66,661.66,661.66,661.66,661.66,661.66,661.66,661.66,661.66,661.66,661.66,661.66,661.66,661.66,661.66,661.66,661.66
Bir Dosanjh wildlife sanctuary,517.59,517.59,517.59,517.59,517.59,517.59,517.59,517.59,517.59,517.59,517.59,517.59,517.59,517.59,517.59,517.59,517.59,517.59,517.59,517.59
Bir Bhadson wildlife sanctuary,1022.63,1022.63,1022.63,1022.63,1022.63,1022.63,1022.63,1022.63,1022.63,1022.63,1022.63,1022.63,1022.63,1022.63,1022.63,1022.63,1022.63,1022.63,1022.63,1022.63
Bir Mehas wildlife sanctuary,123.43,123.43,123.43,123.43,123.43,123.43,123.43,123.43,123.43,123.43,123.43,123.43,123.43,123.43,123.43,123.43,123.43,123.43,123.43,123.43
Bir Gurdialpura wildlife sanctuary,620.53,620.53,620.53,620.53,620.53,620.53,620.53,620.53,620.53,620.53,620.53,620.53,620.53,620.53,620.53,620.53,620.53,620.53,620.53,620.53
Bir Aishwan wildlife sanctuary Sangrur,264.4,264.4,264.4,264.4,264.4,264.4,264.4,264.4,264.4,264.4,264.4,264.4,264.4,264.4,264.4,264.4,264.4,264.4,264.4,264.4
"Harike wildlife sanctuary Firozepur, Amritsar, Kapurthala",8600,8600,8600,8600,8600,8600,8600,8600,8600,8600,8600,8600,8600,8600,8600,8600,8600,8600,8600,8600
Takhni-Rehmapur wildlife sanctuary Hoshiarpur,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382
Abohar wildlife sanctuary Firozepur,18650,18650,18650,18650,18650,18650,18650,18650,18650,18650,18650,18650,18650,18650,18650,18650,18650,18650,18650,18650
Jhajjar Bacholi wildlife sanctuary Rupnagar,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116
Nangal wildlife sanctuary Rupnagar,286.33,286.33,286.33,286.33,286.33,286.33,715.83,715.83,715.83,286.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kathlaur-Kushlian wildlife sanctuary Gurdaspur,758.4,758.4,758.4,758.4,758.4,758.4,758.4,748.4,748.4,758.4,758.4,758.4,758.4,758.4,758.4,NA,NA,NA,NA,NA
(B) Name of  Botanical Garden,,,,,,,,,,,,,,,,,,,,
Baradari Garden Patiala,25.29,25.29,25.29,25.29,25.29,25.29,25.29,25.29,25.29,25.29,25.29,25.29,25.29,25.29,38.61,40.47,40.47,40.47,40.48,40.48
"Aam Khas Bagh (Botanical  Garden), Sirhind Fatehgarh Sahib",4.64,4.8,4.8,4.8,4.8,4.8,4.8,4.8,3.93,4.8,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,9,9
Kaimra Botanical Garden Kapurthala,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,5.66,5.66
Shalimar Botanical Garden Kapurthala,12.09,12.09,12.09,12.09,12.09,12.09,12.09,12.09,12.09,12.09,12.09,12.09,12.09,12.09,12.09,12.09,12.09,12.09,11.33,11.33
Ram Bagh Botanical Garden Amritsar,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,34,34
(C) Zoological Park,,,,,,,,,,,,,,,,,,,,
Mohindra Chaudhari Zoological Park Chhat Bir/ Mohali,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202
(D) Deer Parks,,,,,,,,,,,,,,,,,,,,
Tigar Safari Ludhiana,51.41,51.41,51.41,51.41,51.41,51.41,35,35,35,35,35,35,35,35,35,35,NA,NA,NA,NA
Deer Park Neelon Ludhiana,2.5,2.5,2.5,2.5,2.5,2.5,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA
Deer Park Bir Moti Bagh Patiala,24,24,24,24,24,24,8,8,8,8,8,8,8,8,8,8,NA,NA,NA,NA
Deer Park Bir Talab Bathinda,64.4,64.4,64.4,64.4,64.4,64.4,20,20,20,20,20,20,20,20,20,20,NA,NA,NA,NA
(E) Community Reserve,,,,,,,,,,,,,,,,,,,,
Lalwan Community Reserve Hoshiarpur,1267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Keshopur Maini Community Reserve Gurdaspur,340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rakh Sarai Amanat Khan Community Reserve Amritsar,197.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
