Districts/ Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968
Gurdaspur,191,178,178,227,NA,NA,245,245,267,271,249,322,339,350,246,340,288,265,216,262,235,195,204,205,207,266,161,137,138,NA,122,132,71,69,75,82,73,73,85,62,67,46,45,28,69,58,54,55,22,22,23,28,28,26,34
Pathankot,95,131,92,115,NA,NA,155,155,126,124,135,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amritsar,285,280,243,372,NA,NA,356,356,353,324,342,353,266,224,86,173,371,307,298,332,357,347,291,309,282,286,287,218,267,NA,190,172,88,93,76,129,117,132,111,124,125,90,123,130,135,94,106,102,39,39,39,39,76,87,11
Tarn Taran,126,123,97,134,NA,NA,137,137,167,194,161,173,114,101,119,115,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kapurthala,136,134,144,213,NA,NA,200,200,204,188,237,183,136,150,157,173,151,160,136,132,133,121,114,113,149,131,124,161,92,NA,60,62,51,49,55,274,56,52,42,53,62,74,55,60,67,18,26,21,34,34,43,28,40,42,24
Jalandhar,273,354,317,380,NA,NA,460,460,406,434,510,438,489,409,502,322,369,369,305,303,241,362,233,244,237,247,263,269,284,NA,152,175,157,135,146,59,115,130,75,108,106,113,118,153,132,142,127,103,152,166,130,109,87,97,70
SBS Nagar,105,188,129,153,NA,NA,207,207,182,179,193,219,116,200,137,147,137,143,113,145,114,92,113,91,79,80,82,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoshiarpur,276,239,227,336,NA,NA,387,387,351,359,353,346,287,319,273,343,266,272,263,238,272,254,249,271,232,213,245,224,193,NA,100,87,92,101,67,73,62,68,55,81,59,51,41,43,41,46,48,44,25,45,49,36,48,43,24
Roopnagar,309,263,182,251,NA,NA,306,306,342,272,292,319,268,245,247,245,261,401,407,437,447,404,363,366,374,291,299,270,238,NA,158,136,150,186,134,212,94,95,86,89,102,NA,82,65,72,49,41,41,43,38,41,48,48,32,8
SAS Nagar,485,444,438,529,NA,NA,513,513,464,507,521,541,460,402,398,330,341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ludhiana,803,797,695,857,NA,NA,966,966,834,897,825,871,808,825,799,889,802,758,714,737,800,680,529,519,500,543,456,317,378,NA,242,318,285,291,258,162,203,199,174,206,204,153,154,246,229,140,136,133,133,184,144,144,153,126,120
Firozpur,155,179,150,163,NA,NA,195,195,228,185,165,148,210,232,199,203,189,160,176,163,165,175,153,158,173,114,82,79,150,NA,96,106,103,97,101,57,79,92,41,48,74,20,63,43,55,75,52,58,43,65,94,98,98,105,51
Fazilka,163,147,135,128,NA,NA,126,126,162,111,123,105,NA,NA,NA,NA,NA,71,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Faridkot,140,116,135,134,NA,NA,145,145,148,169,149,134,99,119,116,113,100,71,87,68,73,77,54,57,57,51,42,50,130,NA,39,97,71,70,104,87,80,46,80,67,62,NA,45,83,83,77,52,48,83,42,NA,NA,NA,NA,NA
Shri Muktsar Sahib,139,161,142,188,NA,NA,139,139,130,144,137,150,117,91,109,108,89,67,71,66,61,72,56,64,63,39,35,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
