Name/ Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982
Total Fleet,420,544,532,478,602,598,484,375,439,654,730,624,671,692,781,976,1316,1712,1712,1857,2066,2369,2369,2369,2369,2369,2369,2369,2365,2369,2375,2373,2380,2356,2367,2348,2410,2364,2359,2288,2355
Effective Kilometres,191.65,105.79,231.94,247.57,347.38,431.24,339.74,295.73,328.84,303.65,440.59,330.95,253.45,264.47,417.34,643.05,874.44,1290.19,1432.34,1656.66,1868.98,1894.51,1954.27,2008.27,1907.23,1880.29,2061.7,2163.06,2108.63,2003.38,2007.23,1908.11,2132.84,1992.46,2017.01,1885.66,1914.24,1740.54,1994.94,1896.13,1854.65
Total Receipts,8874.94,3510.07,6168.54,6915.51,9098.54,9131.66,9974.91,10043.26,10967.29,6859.04,8322.68,8327.93,5785.65,5912.23,8802.45,12307.7,15586.71,18379.81,20644.82,19812.43,21445.98,22465.68,22131.87,21455.1,18763.75,17501.16,17714.99,17646.05,15695.69,10084.24,8812.61,7210.41,6938.86,6324.41,6254.82,5140.26,4775.14,4414.03,4902.14,4654.33,4264.05
Total Expenditure,11503.59,9248.81,12288.37,12866.09,19824.24,19217.69,20631.7,20483.78,20764.39,18876.15,20531.27,15649.82,13048.46,13476.79,15155.11,20009.89,23551.1,27643.58,29331.38,29629.42,31619.45,32117.81,31057.66,28434.93,24093.6,21428.23,20066.45,18587.69,16689.71,12345.33,11317.78,10237.38,9730.43,8502.29,7740.37,7041.99,6946.51,6252.36,6240.82,5709.13,5292.64
Total Loss/Profit,-2628.65,-4827.96,-4846.76,-4102.68,-8940.08,-10530.02,-10656.79,10440.52,-9797.1,-12017.11,-12208.59,-7321.89,7262.81,7564.56,6352.66,7702.19,7964.39,9263.77,8686.56,9816.99,10173.47,9652.13,8925.79,6979.83,5329.85,3927.07,2351.46,941.64,994.02,2261.09,2505.17,3026.97,2791.57,2177.88,1485.55,1901.73,2171.37,1838.33,1338.68,1054.8,1028.59
Overall Receipts,46.31,33.18,26.6,27.93,26.19,24.92,29.36,33.96,33.35,22.59,1889,2516,2283,2236,2109,1914,1782,1424,1441,1196,1148,1186,1132,1068,983,931,859,816,744,503,439,378,325,317,310,273,249,254,246,245,230
Overall Expenditure,60.03,87.43,52.98,51.97,57.07,53.66,60.73,69.27,63.14,62.16,4660,4729,5148,5096,3631,3112,2693,2142,2048,1789,1692,1695,1589,1416,1262,1140,973,859,791,616,564,536,456,426,384,373,363,359,313,301,285
Overall Loss/Profit,-13.72,-45.64,-20.9,-16.57,-30.88,-28.74,-31.37,-35.3,-29.79,-39.57,-2771,-2213,2865,2860,1522,1198,911,718,607,593,544,509,457,348,279,209,114,43,47,113,125,158,131,109,74,100,114,105,67,56,55
Daliy Vehicle Utilization,94.83,90.26,90.26,142,158,158,192,216,205,1.27,165,145,104,105,176,195,210,206,225,238,219,227,225,232,225,232,241,252,247,236,236,225,251,235,237,223,225,206,237,228,218
Per litre,4.52,4.56,4.5,4.58,4.54,4.52,4.57,4.47,4.43,4.52,4.51,0.16,0.45,0.32,0.35,,0.86,0.86,0.81,0.7,0.6,4.25,0.52,0.35,0.44,0.56,0.52,0.41,0.39,0.41,0.41,3.95,0.48,0.56,0.49,0.53,0.54,0.66,0.66,0.72,0.67
Break-downs,5.2,9.7,9.74,13.13,9.51,0.11,0.01,0.11,6.33,3.51,0.27,0.03,0.03,0.04,0.05,0.06,0.08,0.09,0.07,0.08,0.08,0.53,0.08,0.1,0.09,0.12,0.11,0.11,0.13,0.12,0.1,0.45,0.13,0.16,0.18,0.19,0.18,0.2,0.21,0.27,0.25
Accidents,0.04,0.59,0.59,0.05,0.03,0,NA,0.06,1,0.26,0.01,4.56,4.44,4.4,4.25,4.37,4.41,4.38,4.32,4.29,4.28,0.07,4.23,4.23,4.16,4.12,4.1,4.09,4.03,3.98,3.98,0.11,3.96,3.95,3.99,3.99,4.01,3.96,3.96,3.96,3.86
Total Staff,1861,1343,1247,2710,2943,3091,6944,4252,4720,5013,5362,6033,6575,7015,7392,7958,8568,9256,9850,11074,11304,11304,11731,11427,11334,11694,11801,12000,12108,12112,12107,11961,11998,12078,11916,12129,11750,11533,11627,11382,11254
Daliy Passenger Carried,0.71,0.66,2.1,1.99,2.21,0.76,1.09,1.45,2.07,3.67,4.84,0.9,0.96,5.81,5.53,5.6,5.4,5.3,5.29,5.34,5.46,5.92,6.15,6.2,9.02,8.35,8.56,8.5,8.48,7.78,7.65,7.55,8.16,8.1,8.23,8.42,9.2,8.55,9.43,8.9,8.51
