 Name/ Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968
Gurdaspur,101,79,92,109,NA,NA,116,116,142,111,119,130,214,168,148,238,187,242,139,219,222,59,92,144,186,179,131,157,158,NA,56,178,82,44,109,128,3,70,76,47,31,84,29,16,92,39,44,80,12,12,8,2,2,4,19
Pathankot,38,46,43,44,NA,NA,40,40,63,50,67,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amritsar,137,120,120,188,NA,NA,206,206,230,227,163,243,182,152,88,179,194,379,267,344,325,108,272,329,308,298,236,263,287,NA,194,128,44,45,65,65,57,114,66,110,66,122,47,75,109,78,95,110,23,23,23,23,45,56,10
Tarn Taran,96,37,35,87,NA,NA,106,106,134,111,139,102,103,57,97,82,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kapurthala,62,38,65,81,NA,NA,99,99,149,109,152,134,77,115,162,153,115,125,160,144,141,55,125,115,72,145,235,74,103,NA,38,56,65,37,69,4,60,105,66,98,105,39,60,35,97,17,76,14,32,32,30,29,19,17,24
Jalandhar,127,127,155,163,NA,NA,207,207,215,204,210,244,271,285,281,255,250,286,289,333,278,201,172,138,142,167,152,187,171,NA,107,64,103,146,58,54,125,51,33,35,40,47,47,156,112,173,139,95,157,178,691,104,93,62,76
SBS Nagar,76,59,59,66,NA,NA,246,246,106,120,124,100,114,136,150,130,120,142,146,183,88,41,117,106,21,89,25,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoshiarpur,132,142,115,176,NA,NA,241,241,187,236,229,132,216,272,257,401,259,334,306,356,284,88,355,423,267,204,298,175,268,NA,165,106,109,48,72,72,68,67,40,104,66,41,44,49,30,37,72,43,15,48,70,26,53,38,30
Roopnagar,172,158,118,170,NA,NA,223,223,202,157,160,218,295,313,210,306,307,453,428,352,434,187,200,285,410,243,224,218,204,NA,149,116,143,150,85,97,46,93,105,170,58,8,80,74,55,30,23,24,28,21,36,35,35,29,4
SAS Nagar,376,314,307,368,NA,NA,364,364,368,382,361,409,309,362,370,287,286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
Ludhiana,342,299,298,458,NA,NA,601,601,556,519,472,487,541,580,523,535,483,607,619,484,509,337,380,379,297,280,269,250,150,NA,128,147,162,120,151,140,129,103,118,133,240,155,160,150,174,74,73,82,68,103,133,133,110,87,110
Firozpur,55,68,64,36,NA,NA,89,89,81,81,68,184,101,115,97,125,198,117,168,134,105,62,119,102,159,145,80,161,93,NA,36,134,182,56,71,29,45,36,11,22,39,120,103,25,36,110,54,59,70,63,88,85,85,87,49
Fazilka,111,145,118,73,NA,NA,54,54,114,72,59,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Faridkot,70,52,69,62,NA,NA,115,115,60,141,67,60,87,111,78,102,84,62,100,68,59,36,72,72,40,89,47,130,81,NA,13,39,74,44,52,73,49,12,75,34,26,30,29,48,72,90,33,36,51,45,NA,NA,NA,NA,NA
Shri Muktsar Sahib,79,78,74,97,NA,NA,74,74,79,75,53,92,86,98,112,116,85,70,62,51,80,52,45,91,33,27,25,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,NA,NA,NA,NA,NA
Moga,64,95,70,92,NA,NA,92,92,122,128,109,146,151,168,126,93,111,114,132,114,50,48,74,55,37,21,27,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bathinda,199,161,187,182,NA,NA,268,268,216,276,191,193,158,196,184,145,151,112,129,159,142,71,178,110,104,85,95,82,70,NA,40,71,71,40,110,42,70,32,43,28,93,38,38,99,39,42,15,47,48,37,39,47,22,41,8
Mansa,76,70,132,88,NA,NA,109,109,92,82,78,90,144,133,76,112,152,75,97,137,78,32,55,35,21,31,54,43,20,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sangrur,210,219,208,286,NA,NA,319,319,237,281,232,275,221,260,307,320,283,218,324,257,346,151,289,185,209,233,132,161,170,NA,32,63,56,86,67,52,51,30,90,58,56,49,42,69,62,24,76,65,55,31,11,11,30,22,20
Barnala,80,90,107,140,NA,NA,149,149,96,139,191,85,137,149,82,105,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,NA,NA,NA,NA,NA
Patiala,437,484,380,467,NA,NA,585,585,514,695,601,577,624,650,667,516,670,595,716,628,668,299,512,434,301,376,272,320,229,NA,223,207,231,145,149,128,86,85,88,89,97,88,147,126,84,85,87,68,53,82,57,62,50,59,31
