 Name/ Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968
Gurdaspur,161,156,158,162,NA,NA,198,198,225,212,212,274,246,270,204,253,226,195,172,209,176,172,148,165,115,162,130,112,115,NA,86,96,50,10,42,69,11,44,33,30,29,34,16,33,34,36,21,34,25,25,28,27,27,23,23
Pathankot,83,85,63,97,NA,NA,127,127,110,112,106,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amritsar,343,231,190,299,NA,NA,284,284,249,278,283,273,204,155,77,170,212,265,246,263,279,275,220,253,187,218,241,203,224,NA,145,131,49,17,40,37,62,84,57,64,59,46,61,56,58,51,53,53,36,36,36,36,38,36,2
Tarn Taran,110,126,93,121,NA,NA,122,122,165,177,146,162,106,98,116,85,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kapurthala,118,102,121,184,NA,NA,172,172,174,155,200,159,108,122,112,113,113,116,98,93,83,66,80,87,96,125,63,63,80,NA,50,44,41,34,40,17,26,31,27,36,35,31,28,31,38,13,40,26,12,12,13,16,15,21,17
Jalandhar,197,306,223,322,NA,NA,362,362,329,341,431,370,266,290,252,250,236,280,205,184,155,176,155,199,163,156,180,190,207,NA,105,137,108,88,88,37,80,77,40,73,51,24,60,57,54,56,44,44,53,58,53,56,46,42,29
SBS Nagar,70,163,111,128,NA,NA,213,213,147,163,186,205,101,97,105,108,89,100,79,98,85,59,72,58,65,59,56,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoshiarpur,233,203,190,254,NA,NA,342,342,287,309,282,289,224,261,216,230,185,174,174,186,183,195,179,199,152,165,145,124,120,NA,56,56,69,76,39,90,33,40,28,52,32,30,25,22,19,22,46,30,20,21,13,15,32,27,14
Roopnagar,238,193,127,181,NA,NA,218,218,237,183,194,203,166,165,141,141,164,213,195,228,235,285,205,220,221,169,159,182,126,NA,76,83,117,125,92,70,48,52,40,51,44,1,31,21,25,19,18,23,19,1,17,21,21,15,6
SAS Nagar,287,260,247,282,NA,NA,249,249,226,289,305,323,258,196,196,229,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ludhiana,647,632,508,604,NA,NA,604,604,546,590,585,620,477,556,504,493,460,439,385,358,380,382,361,304,294,399,323,286,286,NA,159,237,197,210,158,174,185,142,86,122,108,71,72,130,90,66,64,68,51,85,65,65,62,44,33
Firozpur,134,152,119,136,NA,NA,164,164,183,149,160,148,164,166,138,129,120,104,109,78,95,120,98,91,153,145,87,94,97,NA,60,60,98,75,62,50,41,43,25,24,32,15,28,21,19,35,15,21,19,26,46,31,31,46,27
Fazilka,137,131,117,117,NA,NA,105,105,137,106,101,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
